Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j2w,m17e,7,0,[]
j2w,m17e,8,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m17e,9,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m17e,10,0,[]
j2w,m17e,11,0,[]
j2w,m17e,12,0,[]
j2w,m17e,13,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m17e,14,0,[]
j2w,m17e,15,0,[]
,,TOTAL,4,
#,#,#,#,#
j2w,m17w,0,0,[]
j2w,m17w,1,0,[]
j2w,m17w,2,0,[]
j2w,m17w,3,0,[]
j2w,m17w,4,0,[]
j2w,m17w,5,0,[]
j2w,m17w,6,0,[]
j2w,m17w,7,0,[]
j2w,m17w,8,0,[]
j2w,m17w,9,0,[]
j2w,m17w,10,0,[]
j2w,m17w,11,0,[]
j2w,m17w,12,0,[]
j2w,m17w,13,0,[]
j2w,m17w,14,0,[]
j2w,m17w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j2w,m18e,0,0,[]
j2w,m18e,1,0,[]
j2w,m18e,2,0,[]
j2w,m18e,3,0,[]
j2w,m18e,4,0,[]
j2w,m18e,5,0,[]
j2w,m18e,6,0,[]
j2w,m18e,7,0,[]
j2w,m18e,8,0,[]
j2w,m18e,9,0,[]
j2w,m18e,10,0,[]
j2w,m18e,11,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j2w,m18e,12,0,[]
j2w,m18e,13,0,[]
j2w,m18e,14,0,[]
j2w,m18e,15,0,[]
,,TOTAL,1,
#,#,#,#,#
j2w,m18w,0,0,[]
j2w,m18w,1,0,[]
j2w,m18w,2,0,[]
j2w,m18w,3,0,[]
j2w,m18w,4,0,[]
j2w,m18w,5,0,[]
j2w,m18w,6,0,[]
j2w,m18w,7,0,[]
j2w,m18w,8,0,[]
j2w,m18w,9,0,[]
j2w,m18w,10,0,[]
j2w,m18w,11,0,[]
j2w,m18w,12,0,[]
