Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
m5w,m8w,6,13,"[{""y"": 1, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m8w,7,0,[]
m5w,m8w,8,0,[]
m5w,m8w,9,0,[]
m5w,m8w,10,0,[]
m5w,m8w,11,0,[]
m5w,m8w,12,0,[]
m5w,m8w,13,0,[]
m5w,m8w,14,0,[]
m5w,m8w,15,0,[]
,,TOTAL,16,
#,#,#,#,#
m5w,m9e,0,0,[]
m5w,m9e,1,0,[]
m5w,m9e,2,0,[]
m5w,m9e,3,0,[]
m5w,m9e,4,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m9e,5,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m9e,6,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}]"
m5w,m9e,7,0,[]
m5w,m9e,8,0,[]
m5w,m9e,9,0,[]
m5w,m9e,10,0,[]
m5w,m9e,11,0,[]
m5w,m9e,12,0,[]
m5w,m9e,13,0,[]
m5w,m9e,14,0,[]
m5w,m9e,15,0,[]
,,TOTAL,12,
#,#,#,#,#
m5w,m9w,0,0,[]
m5w,m9w,1,0,[]
m5w,m9w,2,0,[]
m5w,m9w,3,0,[]
m5w,m9w,4,0,[]
m5w,m9w,5,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m9w,6,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m9w,7,0,[]
m5w,m9w,8,0,[]
m5w,m9w,9,0,[]
m5w,m9w,10,0,[]
m5w,m9w,11,0,[]
m5w,m9w,12,0,[]
m5w,m9w,13,0,[]
m5w,m9w,14,0,[]
m5w,m9w,15,0,[]
,,TOTAL,16,
#,#,#,#,#
m5w,m10e,0,0,[]
m5w,m10e,1,0,[]
m5w,m10e,2,0,[]
m5w,m10e,3,0,[]
m5w,m10e,4,0,[]
m5w,m10e,5,4,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m10e,6,5,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m10e,7,0,[]
m5w,m10e,8,0,[]
m5w,m10e,9,0,[]
m5w,m10e,10,0,[]
m5w,m10e,11,0,[]
m5w,m10e,12,0,[]
m5w,m10e,13,0,[]
m5w,m10e,14,0,[]
m5w,m10e,15,0,[]
,,TOTAL,9,
#,#,#,#,#
m5w,m10w,0,0,[]
m5w,m10w,1,0,[]
m5w,m10w,2,0,[]
m5w,m10w,3,0,[]
m5w,m10w,4,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
m5w,m10w,5,10,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m10w,6,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
m5w,m10w,7,0,[]
m5w,m10w,8,0,[]
m5w,m10w,9,0,[]
m5w,m10w,10,0,[]
m5w,m10w,11,0,[]
m5w,m10w,12,0,[]
m5w,m10w,13,0,[]
m5w,m10w,14,0,[]
m5w,m10w,15,0,[]
,,TOTAL,15,
#,#,#,#,#
m5w,m11e,0,0,[]
m5w,m11e,1,0,[]
m5w,m11e,2,0,[]
m5w,m11e,3,0,[]
