Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Kotokuzan,4,11,-14,4,,81,-11,0,,Tenshoho;Takakento;Daishoho;Okaryu
Akua,6,9,-6,6,,82,-12,0,,Takakento;Kotokuzan;Tochimaru;Dewanoryu;Nobehara;Asahakuryu
Takakento,3,12,-18,3,,83,-13,0,,Tenshoho;Nishinoryu;Tochimaru
Daishoho,4,11,-14,4,,84,-14,0,,Kaisho;Gojinyu;Kitaharima;Fujinoyama
Kotokenryu,0,15,-30,0,,85,-15,0,,
Kaisho,2,13,-22,2,,86,-16,0,,Tsushimanada;Takakento
Kyokukaiyu,5,10,-10,5,,87,-17,0,,Kaisho;Daishoho;Kotokuzan;Okaryu;Mudoho
Tochimusashi,5,10,-10,5,,88,-18,0,,Kyokukaiyu;Daishoho;Okaryu;Satorufuji;Inami
Dewanoryu,6,9,-6,6,,89,-19,0,,Gojinyu;Okaryu;Tochimusashi;Kyokukaiyu;Nobehara;Hananoumi
Gojinyu,3,12,-18,3,,90,-20,0,,Kaisho;Tsushimanada;Asashiyu
Kitaharima,3,12,-18,3,,91,-21,0,,Gojinyu;Asakoki;Kaisho
Okaryu,3,12,-18,3,,92,-22,0,,Kitaharima;Inami;Fujinoyama
Asakoki,3,12,-18,3,,93,-23,0,,Tsushimanada;Gojinyu;Haruyama
Fujinoyama,3,12,-18,3,,94,-24,0,,Asakoki;Kitaharima;Asashiyu
Satorufuji,5,10,-10,5,,95,-25,0,,Inami;Fujinoyama;Chiyomaru;Asonoyama;Nobehara
Inami,4,11,-14,4,,96,-26,0,,Asakoki;Asashiyu;Kitaharima;Hamayutaka
Tsushimanada,2,13,-22,2,,97,-27,0,,Tenshoho;Daimasakari
Hamayutaka,4,11,-14,4,,98,-28,0,,Asashiyu;Chiyomaru;Satorufuji;Kazenoumi
Asashiyu,2,13,-22,2,,99,-29,0,,Haruyama;Tosamidori
Asahakuryu,5,10,-10,5,,100,-30,0,,Haruyama;Kazenoumi;Fujinoyama;Hamayutaka;Tochimusashi
Chiyomaru,4,11,-14,4,,101,-31,0,,Asahakuryu;Anosho;Kazenoumi;Asonoyama
Kazenoumi,3,12,-18,3,,102,-32,0,,Asashiyu;Fukai;Asakoki
Anosho,3,12,-18,3,,103,-33,0,,Kazenoumi;Tosamidori;Fukai
Haruyama,2,13,-22,2,,104,-34,0,,Daimasakari;Osanai
Nobehara,4,11,-14,4,,105,-35,0,,Haruyama;Anosho;Narutaki;Hamayutaka
Narutaki,4,11,-14,4,,106,-36,0,,Fukai;Tosamidori;Asonoyama;Kaiseijo
Fukai,3,12,-18,3,,107,-37,0,,Daimasakari;Haruyama;Tosamidori
Osanai,1,14,-26,1,,108,-38,0,,Daimasakari
Tosamidori,2,13,-22,2,,109,-39,0,,Osanai;Fujitoshi
Asonoyama,3,12,-18,3,,110,-40,0,,Fukai;Tosamidori;Anosho
Hokutomaru,5,10,-10,5,,111,-41,0,,Asonoyama;Wakatakamoto;Matsui;Chiyomaru;Narutaki
Kaiseijo,4,11,-14,4,,112,-42,0,,Daimasakari;Hokutomaru;Kitadaichi;Aratakayama
Daimasakari,1,14,-26,1,,113,-43,0,,Tenshoho
Kitadaichi,2,13,-22,2,,114,-44,0,,Daimasakari;Hokutomaru
Hananoumi,5,10,-10,5,,115,-45,0,,Kitadaichi;Obara;Kaiseijo;Aratakayama;Narutaki
Fujitoshi,2,13,-22,2,,116,-46,0,,Kototaiko;Kaishin
Obara,4,11,-14,4,,117,-47,0,,Fujitoshi;Wakatakamoto;Matsui;Chiyotora
Wakatakamoto,1,14,-26,1,,118,-48,0,,Fujitoshi
Matsui,4,11,-14,4,,119,-49,0,,Wakatakamoto;Chiyotora;Kitadaichi;Anosho
Aratakayama,3,12,-18,3,,120,-50,0,,Kamito;Toseiryu;Hokutenkai
Chiyotora,5,10,-10,5,,121,-51,0,,Aratakayama;Yuma;Awanokuni;Kamito;Kaiseijo
Kamito,4,11,-14,4,,122,-52,0,,Fujitoshi;Yuma;Hokutenkai;Shohoryu
Toseiryu,5,10,-10,5,,123,-53,0,,Kamito;Oyamada;Kitadaichi;Oyamatoumi;Obara
Yuma,4,11,-14,4,,124,-54,0,,Higonoumi;Wakatakamoto;Hokutenkai;Aratakayama
Oshoryu,7,8,-2,7,,125,-55,0,,Yuma;Toseiryu;Matsui;Hananoumi;Enho;Akua;Kawazoe
Higonoumi,3,12,-18,3,,126,-56,0,,Fujitoshi;Oyamada;Kitadaichi
Nihonyanagi,0,15,-30,0,,127,-57,0,,
Hokutenkai,3,12,-18,3,,128,-58,0,,Higonoumi;Oyamada;Dewataikai
Oyamada,3,12,-18,3,,129,-59,0,,Shohoryu;Wakatakamoto;Sazanami
Enho,6,9,-6,6,,130,-60,0,,Oyamada;Hokutenkai;Awanokuni;Tendozan;Obara;Nagamura
Shohoryu,3,12,-18,3,,131,-61,0,,Higonoumi;Dewataikai;Sazanami
Awanokuni,4,11,-14,4,,132,-62,0,,Shohoryu;Noda;Higonoumi;Shuji
Oyamatoumi,4,11,-14,4,,133,-63,0,,Sazanami;Dewataikai;Awanokuni;Tochikodai
Noda,3,12,-18,3,,134,-64,0,,Oyamatoumi;Shohoryu;Sazanami
Dewataikai,2,13,-22,2,,135,-65,0,,Sazanami;Kaishin
Sazanami,2,13,-22,2,,136,-66,0,,Gyokuozan;Kaishin
Tendozan,6,9,-6,6,,137,-67,0,,Gyokuozan;Dewataikai;Nagamura;Tanji;Yoshii;Daikosho
Gyokuozan,2,13,-22,2,,138,-68,0,,Kototaiko;Kaishin
Nagamura,5,10,-10,5,,139,-69,0,,Tanji;Kazuto;Oyamatoumi;Hinataryu;Seihakuho
Tanji,4,11,-14,4,,140,-70,0,,Gyokuozan;Noda;Kazuto;Toshunryu
Kazuto,5,10,-10,5,,141,-71,0,,Shuji;Toshunryu;Tochikodai;Noda;Yoshii
Shuji,3,12,-18,3,,142,-72,0,,Kototaiko;Dewataikai;Gyokuozan
Kototaiko,0,15,-30,0,,143,-73,0,,
Tochikodai,3,12,-18,3,,144,-74,0,,Kototaiko;Toshunryu;Aron
Kaishin,1,14,-26,1,,145,-75,0,,Kototaiko
Toshunryu,4,11,-14,4,,146,-76,0,,Kaishin;Nionoumi;Shuji;Noda
Kawazoe,6,9,-6,6,,147,-77,0,,Hinataryu;Kotodaigo;Tochikodai;Daishomaru;Goshima;Fukuzaki
Hinataryu,5,10,-10,5,,148,-78,0,,Kaishin;Shuji;Tochikodai;Tochiseiryu;Tanji
Aron,3,12,-18,3,,149,-79,0,,Denuma;Chiyoraizan;Gyokuozan
Kotodaigo,4,11,-14,4,,150,-80,0,,Aron;Nionoumi;Chiyodaigo;Tochiseiryu
Nionoumi,3,12,-18,3,,151,-81,0,,Aron;Akiyoshi;Chiyoraizan
Yoshii,4,11,-14,4,,152,-82,0,,Nionoumi;Chiyoraizan;Kotodaigo;Tochiseiryu
Akiyoshi,3,12,-18,3,,153,-83,0,,Aron;Kaigo;Chiyodaigo
Chiyoraizan,2,13,-22,2,,154,-84,0,,Akiyoshi;Yamato
Tochiseiryu,3,12,-18,3,,155,-85,0,,Akiyoshi;Chiyoraizan;Fujiazuma
Daishomaru,4,11,-14,4,,156,-86,0,,Tochiseiryu;Chiyodaigo;Yoshii;Kirinryu
Kirinryu,3,12,-18,3,,157,-87,0,,Anhibiki;Akiyoshi;Kotodaigo
Chiyodaigo,2,13,-22,2,,158,-88,0,,Kirinryu;Kaigo
Seihakuho,5,10,-10,5,,159,-89,0,,Anhibiki;Fujiazuma;Mikazuchiyama;Tokitenran;Daishomaru
Anhibiki,3,12,-18,3,,160,-90,0,,Denuma;Chiyoraizan;Chiyodaigo
Fujiazuma,2,13,-22,2,,161,-91,0,,Hayatefuji;Kirinryu
Hayatefuji,4,11,-14,4,,162,-92,0,,Denuma;Chiyodaigo;Mikazuchiyama;Daishomaru
Mikazuchiyama,5,10,-10,5,,163,-93,0,,Denuma;Kaigo;Fujiazuma;Anhibiki;Kurohimeyama
Denuma,2,13,-22,2,,164,-94,0,,Kototaiko;Wakatakamoto
Kotodaishin,4,11,-14,4,,165,-95,0,,Shunrai;Daiyusho;Ikazuchido;Kirinryu
Kaigo,2,13,-22,2,,166,-96,0,,Kotodaishin;Yamato
Shunrai,4,11,-14,4,,167,-97,0,,Yamato;Kaigo;Nionoumi;Anhibiki
Ikazuchido,3,12,-18,3,,168,-98,0,,Shunrai;Kurohimeyama;Shimizuumi
Daiyusho,5,10,-10,5,,169,-99,0,,Yamato;Shunrai;Ikazuchido;Tokitenran;Hayatefuji
Kurohimeyama,4,11,-14,4,,170,-100,0,,Daiyusho;Kaigo;Ieshima;Kotodaishin
Daikosho,5,10,-10,5,,171,-101,0,,Yamato;Shimizuumi;Kurohimeyama;Kotodaishin;Hayatefuji
Yamato,1,14,-26,1,,172,-102,0,,Denuma
Shimizuumi,3,12,-18,3,,173,-103,0,,Shiroma;Chiyotaiho;Fujiazuma
Tokitenran,4,11,-14,4,,174,-104,0,,Shimizuumi;Daikosho;Ikazuchido;Dairinzan
Mishima,5,10,-10,5,,175,-105,0,,Shiroma;Chiyotaiho;Tsurubayashi;Tokitenran;Ienoshima
Shiroma,4,11,-14,4,,176,-106,0,,Yamato;Chiyotaiho;Kumanoryu;Ikazuchido
Chiyotaiho,2,13,-22,2,,177,-107,0,,Ieshima;Onojo
Sengaku,5,10,-10,5,,178,-108,0,,Chiyotaiho;Mishima;Daihisho;Ienoshima;Tokunomusashi
Ieshima,2,13,-22,2,,179,-109,0,,Shiroma;Onojo
Dairinzan,3,12,-18,3,,180,-110,0,,Ieshima;Kumanoryu;Sengaku
Onojo,1,14,-26,1,,181,-111,0,,Chiyonokatsu
Kumanoryu,3,12,-18,3,,182,-112,0,,Onojo;Yokomaru;Chiyotaiho
Tsurubayashi,4,11,-14,4,,183,-113,0,,Daihisho;Hoshuzan;Shimizuumi;Dairinzan
Daihisho,3,12,-18,3,,184,-114,0,,Onojo;Kumanoryu;Yoshiyasu
Yoshiyasu,4,11,-14,4,,185,-115,0,,Chiyonokatsu;Yokomaru;Ieshima;Soma
Chiyonokatsu,1,14,-26,1,,186,-116,0,,Sachinofuji
Ienoshima,4,11,-14,4,,187,-117,0,,Chiyonokatsu;Yokomaru;Yoshiyasu;Daihisho
Hoshuzan,4,11,-14,4,,188,-118,0,,Ienoshima;Kumanoryu;Soma;Daihisho
Yonezawaryu,3,12,-18,3,,189,-119,0,,Chiyonokatsu;Onojo;Ieshima
Yokomaru,2,13,-22,2,,190,-120,0,,Yonezawaryu;Rinko
Goshima,6,9,-6,6,,191,-121,0,,Chiyooga;Tokunomusashi;Tsurubayashi;Dairinzan;Mishima;Yago
Fukuzaki,5,10,-10,5,,192,-122,0,,Soma;Suzaki;Yoshiyasu;Kotonofuji;Seihakuho
