Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Chiyoarashi,4,11,-14,4,,91,-21,0,,Hamayutaka;Yoshii;Hokutenkai;Hikarifuji
Tochikodai,4,11,-14,4,,92,-22,0,,Nishinoryu;Chiyoarashi;Hokaho;Hayatefuji
Kawazoe,5,10,-10,5,,93,-23,0,,Tochikodai;Chiyoarashi;Tochiseiryu;Hayatefuji;Yago
Nishinoryu,2,13,-22,2,,94,-24,0,,Asanowaka;Shishi
Tochiseiryu,5,10,-10,5,,95,-25,0,,Nishinoryu;Hokaho;Hikarifuji;Akiseyama;Tanabe
Yago,4,11,-14,4,,96,-26,0,,Nishinoryu;Kanzaki;Dewanoryu;Hikarifuji
Hokaho,2,13,-22,2,,97,-27,0,,Yago;Ryuo
Tanabe,5,10,-10,5,,98,-28,0,,Ryuo;Hikarifuji;Oki;Kawazoe;Kitadaichi
Ryuo,2,13,-22,2,,99,-29,0,,Yago;Suzuki
Hikarifuji,3,12,-18,3,,100,-30,0,,Kanzaki;Chiyotora;Hokaho
Oshoryu,0,15,-30,0,,101,-31,0,,
Hayatefuji,3,12,-18,3,,102,-32,0,,Kanzaki;Hokutenkai;Oki
Kanzaki,3,12,-18,3,,103,-33,0,,Suzuki;Ryuo;Hamayutaka
Akiseyama,4,11,-14,4,,104,-34,0,,Hayatefuji;Chiyotora;Fujitoshi;Oki
Suzuki,1,14,-26,1,,105,-35,0,,Asanowaka
Chiyotora,4,11,-14,4,,106,-36,0,,Suzuki;Ryuo;Hamayutaka;Kotoyusho
Hokutenkai,2,13,-22,2,,107,-37,0,,Suzuki;Kanzaki
Oki,4,11,-14,4,,108,-38,0,,Hokutenkai;Kotoyusho;Chiyotora;Inoue
Kitadaichi,4,11,-14,4,,109,-39,0,,Ichiki;Hokutenkai;Fujitoshi;Hayatefuji
Kotoyusho,3,12,-18,3,,110,-40,0,,Kitadaichi;Ichiki;Nabatame
Fujitoshi,3,12,-18,3,,111,-41,0,,Nabatame;Kotoyusho;Hokutenkai
Nabatame,3,12,-18,3,,112,-42,0,,Kitadaichi;Inoue;Kitaharima
Tamashoho,7,8,-2,7,,113,-43,0,,Inoue;Fujitoshi;Akiseyama;Otsuji;Tanabe;Asanoyama;Mineyaiba
Inoue,3,12,-18,3,,114,-44,0,,Ichiki;Kotoyusho;Fujitoshi
Otsuji,6,9,-6,6,,115,-45,0,,Ichiki;Asonoyama;Kiryuko;Oyamatoumi;Kawazoe;Tochiseiryu
Ichiki,1,14,-26,1,,116,-46,0,,Suzuki
Kitaharima,2,13,-22,2,,117,-47,0,,Kotoozutsu;Ichiki
Asonoyama,5,10,-10,5,,118,-48,0,,Kitaharima;Kainoshima;Nabatame;Kiryuko;Setonoumi
Setonoumi,5,10,-10,5,,119,-49,0,,Kainoshima;Fukai;Asagyokusei;Narutaki;Akiseyama
Kainoshima,3,12,-18,3,,120,-50,0,,Kitaharima;Kotoozutsu;Asagyokusei
Onojo,3,12,-18,3,,121,-51,0,,Kitaharima;Kainoshima;Nabatame
Fukai,4,11,-14,4,,122,-52,0,,Onojo;Kitaharima;Ryusei;Tosamidori
Kiryuko,5,10,-10,5,,123,-53,0,,Oyamatoumi;Tokunomusashi;Miyagi;Onojo;Nihonyanagi
Oyamatoumi,3,12,-18,3,,124,-54,0,,Onojo;Fukai;Asagyokusei
Tokunomusashi,4,11,-14,4,,125,-55,0,,Kotoozutsu;Fukai;Inoue;Oyamatoumi
Kotoozutsu,2,13,-22,2,,126,-56,0,,Suzuki;Ichiki
Miyagi,4,11,-14,4,,127,-57,0,,Kotoozutsu;Tokunomusashi;Asagyokusei;Onojo
Nihonyanagi,4,11,-14,4,,128,-58,0,,Miyagi;Ryusei;Wakatakamoto;Akinoyama
Asagyokusei,2,13,-22,2,,129,-59,0,,Ryusei;Nihonyanagi
Ryusei,3,12,-18,3,,130,-60,0,,Kotoozutsu;Kainoshima;Nionoumi
Kotodaigo,5,10,-10,5,,131,-61,0,,Ryusei;Nihonyanagi;Nionoumi;Miyagi;Tokunomusashi
Tosamidori,3,12,-18,3,,132,-62,0,,Kotodaigo;Mukainakano;Wakatakamoto
Mukainakano,6,9,-6,6,,133,-63,0,,Wakatakamoto;Nionoumi;Kotodaigo;Akinoyama;Narutaki;Asonoyama
Wakatakamoto,4,11,-14,4,,134,-64,0,,Tsurubayashi;Okinohama;Asagyokusei;Oyamatoumi
Nionoumi,2,13,-22,2,,135,-65,0,,Tsurubayashi;Okinohama
Tsurubayashi,3,12,-18,3,,136,-66,0,,Yuki;Kairyu;Okinohama
Okinohama,2,13,-22,2,,137,-67,0,,Yuki;Taiyo
Akinoyama,3,12,-18,3,,138,-68,0,,Okinohama;Nionoumi;Tosamidori
Yuki,3,12,-18,3,,139,-69,0,,Shosei;Shuji;Hokutoshu
Narutaki,5,10,-10,5,,140,-70,0,,Yuki;Kototebakari;Hokutomaru;Tosamidori;Kotohaguro
Kototebakari,5,10,-10,5,,141,-71,0,,Kairyu;Tochinobori;Tsurubayashi;Tosamidori;Sasakiyama
Kairyu,4,11,-14,4,,142,-72,0,,Daikisho;Okinohama;Nionoumi;Akinoyama
Tochinobori,4,11,-14,4,,143,-73,0,,Daikisho;Yuki;Tsurubayashi;Kaishin
Daikisho,3,12,-18,3,,144,-74,0,,Shosei;Akitoba;Hokutoshu
Shosei,1,14,-26,1,,145,-75,0,,Amane
Hokutomaru,5,10,-10,5,,146,-76,0,,Shosei;Tochinobori;Kototebakari;Daikisho;Arauma
Hokutoshu,2,13,-22,2,,147,-77,0,,Kotodairyu;Kairyu
Kotodairyu,4,11,-14,4,,148,-78,0,,Shosei;Tochinobori;Hatooka;Daikisho
Kotohaguro,4,11,-14,4,,149,-79,0,,Akitoba;Hatooka;Hokutoshu;Hokutomaru
Mineyaiba,6,9,-6,6,,150,-80,0,,Kotohaguro;Hokutoshu;Sasakiyama;Akinoyama;Setonoumi;Chiyonokatsu
Obara,0,15,-30,0,,151,-81,0,,
Kaishin,3,12,-18,3,,152,-82,0,,Akitoba;Kotodairyu;Arauma
Akitoba,4,11,-14,4,,153,-83,0,,Taiyo;Shuji;Hokutoshu;Hinataryu
Sasakiyama,4,11,-14,4,,154,-84,0,,Taiyo;Kaishin;Hinataryu;Kotodairyu
Taiyo,1,14,-26,1,,155,-85,0,,Shosei
Hatooka,3,12,-18,3,,156,-86,0,,Arauma;Hoshuzan;Onokura
Arauma,4,11,-14,4,,157,-87,0,,Taiyo;Hoshuzan;Hinataryu;Chiyotaiho
Kayo,6,9,-6,6,,158,-88,0,,Shuji;Hatooka;Hinataryu;Kaishin;Kotohaguro;Kototsubasa
Shuji,2,13,-22,2,,159,-89,0,,Taiyo;Shosei
Hinataryu,3,12,-18,3,,160,-90,0,,Hoshuzan;Osanai;Hatooka
Hoshuzan,2,13,-22,2,,161,-91,0,,Shuji;Wakanosho
Osanai,4,11,-14,4,,162,-92,0,,Kototsubasa;Hoshuzan;Chiyoraizan;Chiyotaiho
Kototsubasa,5,10,-10,5,,163,-93,0,,Daihisho;Chiyoraizan;Onokura;Sasakiyama;Oshoumi
Onokura,2,13,-22,2,,164,-94,0,,Daihisho;Osanai
Daihisho,3,12,-18,3,,165,-95,0,,Shuji;Osanai;Hoshuzan
Chiyonokatsu,6,9,-6,6,,166,-96,0,,Wakanosho;Onokura;Hatsuyama;Kayo;Omoto;Shohoryu
Chiyoraizan,3,12,-18,3,,167,-97,0,,Wakanosho;Kamitani;Kotodaishin
Ishiura,0,15,-30,0,,168,-98,0,,
Wakanosho,2,13,-22,2,,169,-99,0,,Amane;Taiyo
Hatsuyama,5,10,-10,5,,170,-100,0,,Chiyoraizan;Kawabuchi;Wakazakura;Kaishin;Dewataikai
Chiyotaiho,3,12,-18,3,,171,-101,0,,Wakanosho;Kamitani;Onokura
Kawabuchi,3,12,-18,3,,172,-102,0,,Chiyotaiho;Dewataikai;Kotoryusei
Dewataikai,4,11,-14,4,,173,-103,0,,Chiyotaiho;Chiyoraizan;Daihisho;Maikeru
Kamitani,2,13,-22,2,,174,-104,0,,Dewataikai;Denuma
Oshoumi,4,11,-14,4,,175,-105,0,,Wakazakura;Kamitani;Kotoryusei;Hatsuyama
Wakazakura,4,11,-14,4,,176,-106,0,,Maikeru;Kamitani;Chiyooga;Kawabuchi
Maikeru,4,11,-14,4,,177,-107,0,,Amane;Raiho;Kotoryusei;Kawabuchi
Denuma,2,13,-22,2,,178,-108,0,,Wakanosho;Shinohara
Chiyooga,4,11,-14,4,,179,-109,0,,Maikeru;Okinofuji;Onokura;Moji
Kotoryusei,4,11,-14,4,,180,-110,0,,Denuma;Chiyooga;Daihisho;Raiho
Kotodaishin,2,13,-22,2,,181,-111,0,,Denuma;Chiyooga
Moji,3,12,-18,3,,182,-112,0,,Kotodaishin;Raiho;Hanafusa
Amane,1,14,-26,1,,183,-113,0,,Asanowaka
Raiho,3,12,-18,3,,184,-114,0,,Amane;Denuma;Kotodaishin
Mudoho,5,10,-10,5,,185,-115,0,,Amane;Raiho;Kotodaishin;Kawabuchi;Oshoumi
Okinofuji,3,12,-18,3,,186,-116,0,,Mudoho;Shinohara;Kamitani
Omoto,6,9,-6,6,,187,-117,0,,Shohoryu;Okinofuji;Moji;Oshoumi;Mudoho;Awanokuni
Shohoryu,5,10,-10,5,,188,-118,0,,Kirinofuji;Okinofuji;Moji;Asakoki;Fujiazuma
